en,ko
Mega Zygarde ex,메가지가르데 ex
Meganium,메가니움
Meganium ex,메가니움 ex
Meganium δ,메가니움 δ
Melmetal,멜메탈
Melmetal ex,멜메탈 ex
Melmetal GX,멜메탈 GX
Melmetal V,멜메탈 V
Melmetal VMAX,멜메탈 VMAX
Meloetta,메로엣타
Meloetta ex,메로엣타 ex
Meloetta-EX,메로엣타-EX
Meltan,멜탄
Meowscarada,마스카나
Meowscarada ex,마스카나 ex
Meowstic,냐오닉스
Meowstic EX,냐오닉스 EX
Meowth,나옹
Meowth ex,나옹 ex
Meowth V,나옹 V
Meowth VMAX,나옹 VMAX
Meowth δ,나옹 δ
Mesprit,엠라이트
Metagross,메타그로스
Metagross ex,메타그로스 ex
Metagross EX,메타그로스 EX
Metagross GX,메타그로스 GX
Metagross Star,메타그로스 Star
Metagross V,메타그로스 V
Metagross VMAX,메타그로스 VMAX
Metagross δ,메타그로스 δ
Metal Sound,Metal Sound
Metang,메탕구
Metang δ,메탕구 δ
Metapod,단데기
Mew,뮤
Mew ☆ δ,뮤 ☆ δ
Mew ex,뮤 ex
Mew EX,뮤 EX
Mew V,뮤 V
Mew VMAX,뮤 VMAX
Mew δ,뮤 δ
Mew-EX,뮤-EX
Mewtwo,뮤츠
Mewtwo & Mew GX,뮤츠 & 뮤 GX
Mewtwo ex,뮤츠 ex
Mewtwo EX,뮤츠 EX
Mewtwo GX,뮤츠 GX
Mewtwo Star,뮤츠 Star
Mewtwo V,뮤츠 V
Mewtwo V-UNION,뮤츠 V-UNION
Mewtwo VSTAR,뮤츠 VSTAR
Mewtwo δ,뮤츠 δ
Mewtwo-EX,뮤츠-EX
Mewtwo-GX,뮤츠-GX
Mienfoo,비조푸
Mienshao,비조도
Mightyena,그라에나
Mightyena ex,그라에나 ex
Mightyena δ,그라에나 δ
Milcery,마빌크
Milotic,밀로틱
Milotic C,밀로틱 C
Milotic ex,밀로틱 ex
Milotic V,밀로틱 V
Milotic δ,밀로틱 δ
Miltank,밀탱크
Mime Jr.,흉내내
Mimikyu,따라큐
Mimikyu ex,따라큐 ex
Mimikyu GX,따라큐 GX
Mimikyu V,따라큐 V
Mimikyu VMAX,따라큐 VMAX
Minccino,치라미
Minior,메테노
Minun,마이농
Miraidon,미라이돈
Miraidon ex,미라이돈 ex
Misdreavus,무우마
Mismagius,무우마직
Mismagius ex,무우마직 ex
Mismagius GL,무우마직 GL
Mismagius GL LV.X,무우마직 GL LV.X
Misty's Cloyster,이슬의 파르셀
Misty's Dewgong,이슬의 쥬레곤
Misty's Goldeen,이슬의 콘치
Misty's Golduck,이슬의 골덕
Misty's Gyarados,이슬의 갸라도스
Misty's Horsea,이슬의 쏘드라
Misty's Lapras,이슬의 라프라스
Misty's Magikarp,이슬의 잉어킹
Misty's Poliwag,이슬의 발챙이
Misty's Poliwhirl,이슬의 슈륙챙이
Misty's Poliwrath,이슬의 강챙이
Misty's Psyduck,이슬의 고라파덕
Misty's Seadra,이슬의 시드라
Misty's Seaking,이슬의 왕콘치
Misty's Seel,이슬의 쥬쥬
Misty's Shellder,이슬의 셀러
Misty's Starmie,이슬의 아쿠스타
Misty's Staryu,이슬의 별가사리
Misty's Tentacool,이슬의 왕눈해
Misty's Tentacruel,이슬의 독파리
Moltres,파이어
Moltres & Zapdos & Articuno GX,파이어 & 썬더 & 프리져 GX
Moltres ex,파이어 ex
Moltres-EX,파이어-EX
Monferno,파이숭이
Morelull,자마슈
Morgrem,쏘겨모
Morpeko,모르페코
Morpeko ex,모르페코 ex
Morpeko V,모르페코 V
Morpeko V-UNION,모르페코 V-UNION
Morpeko VMAX,모르페코 VMAX
Mothim,나메일
Mow Rotom,커트로토무
Mr. Mime,마임맨
Mr. Mime E4,마임맨 E4
Mr. Mime ex,마임맨 ex
Mr. Mime GX,마임맨 GX
Mudbray,머드나기
Mudkip,물짱이
Mudkip ☆,물짱이 ☆
Mudsdale,만마드
Muk,질뻐기
Muk & Alolan Muk GX,질뻐기 & 알로라 질뻐기 GX
Muk ex,질뻐기 ex
Munchlax,먹고자
Munkidori,이야후
Munkidori ex,이야후 ex
Munna,몽나
Murkrow,니로우
Musharna,몽얌나
N's Darmanitan,N의 불비달마
N's Darumaka,N의 달막화
N's Joltik,N의 파쪼옥
N's Klang,N의 기기어르
N's Klink,N의 기어르
N's Klinklang,N의 기기기어르
N's Purrloin,N의 쌔비냥
N's Reshiram,N의 레시라무
N's Sigilyph,N의 심보러
N's Zekrom,N의 제크로무
N's Zoroark ex,N의 조로아크 ex
N's Zorua,N의 조로아
Nacli,베베솔트
Naclstack,스태솔트
Naganadel,아고용
Naganadel & Guzzlord GX,아고용 & 악식킹 GX
Naganadel GX,아고용 GX
Naganadel-GX,아고용-GX
Natu,네이티
Natu δ,네이티 δ
Necrozma,네크로즈마
Necrozma GX,네크로즈마 GX
Necrozma V,네크로즈마 V
Nickit,훔처우
Nidoking,니드킹
Nidoking BREAK,니드킹 BREAK
Nidoking δ,니드킹 δ
Nidoqueen,니드퀸
Nidoqueen δ,니드퀸 δ
Nidoran ♀,니드런 ♀
Nidoran ♂,니드런 ♂
Nidoran♀,니드런♀
Nidoran♀ δ,니드런♀ δ
Nidoran♂,니드런♂
Nidoran♂ δ,니드런♂ δ
Nidorina,니드리나
Nidorina δ,니드리나 δ
Nidorino,니드리노
Nidorino δ,니드리노 δ
Nihilego,텅비드
Nihilego GX,텅비드 GX
Nihilego-GX,텅비드-GX
Nincada,토중몬
Ninetales,나인테일
Ninetales BREAK,나인테일 BREAK
Ninetales ex,나인테일 ex
Ninetales EX,나인테일 EX
Ninetales V,나인테일 V
Ninetales δ,나인테일 δ
Ninjask,아이스크
Noctowl,야부엉
Noctowl BREAK,야부엉 BREAK
Noibat,음뱃
Noivern,음번
Noivern BREAK,음번 BREAK
Noivern ex,음번 ex
Noivern GX,음번 GX
Noivern V,음번 V
Noivern-GX,음번-GX
Nosepass,코코파스
Numel,둔타
Nuzleaf,잎새코
Nuzzle,Nuzzle
Nymble,콩알뚜기
Octillery,대포무노
Oddish,뚜벅쵸
Oddish δ,뚜벅쵸 δ
Oinkologne,퍼퓨돈
Oinkologne ex,퍼퓨돈 ex
Okidogi,조타구
Okidogi ex,조타구 ex
Omanyte,암나이트
Omanyte δ,암나이트 δ
Omastar,암스타
Omastar BREAK,암스타 BREAK
Omastar V,암스타 V
Omastar δ,암스타 δ
Onix,롱스톤
Onix GX,롱스톤 GX
Oranguru,하랑우탄
Oranguru V,하랑우탄 V
Orbeetle,이올브
Orbeetle V,이올브 V
Orbeetle VMAX,이올브 VMAX
Oricorio,춤추새
Oricorio ex,춤추새 ex
Oricorio GX,춤추새 GX
Origin Forme Dialga,오리진 디아루가
Origin Forme Dialga V,오리진 디아루가 V
Origin Forme Dialga VSTAR,오리진 디아루가 VSTAR
Origin Forme Palkia,오리진 펄기아
Origin Forme Palkia V,오리진 펄기아 V
Origin Forme Palkia VSTAR,오리진 펄기아 VSTAR
Orthworm,꿈트렁
Orthworm ex,꿈트렁 ex
Oshawott,수댕이
Pachirisu,파치리스
Pachirisu ex,파치리스 ex
Palafin,돌핀맨
Palafin ex,돌핀맨 ex
Paldean Clodsire,팔데아 토오
Paldean Clodsire ex,팔데아 토오 ex
Paldean Tauros,팔데아 켄타로스
Paldean Wooper,팔데아 우파
Palkia,펄기아
Palkia & Dialga LEGEND,펄기아 & 디아루가 LEGEND
Palkia ex,펄기아 ex
Palkia EX,펄기아 EX
Palkia G,펄기아 G
Palkia G LV.X,펄기아 G LV.X
Palkia GX,펄기아 GX
Palkia-EX,펄기아-EX
Palossand,모래성이당
Palossand ex,모래성이당 ex
Palossand GX,모래성이당 GX
Palpitoad,두까비
Pancham,판짱
Pangoro,부란다
Panpour,앗차프
Pansage,야나프
Pansear,바오프
Paras,파라스
Parasect,파라섹트
Passimian,내던숭이
Passimian ex,내던숭이 ex
Patrat,보르쥐
Pawmi,빠모
Pawmo,빠모트
Pawmot,빠르모트
Pawmot ex,Pawmot ex
Pawniard,자망칼
Pecharunt,복숭악동
Pecharunt ex,복숭악동 ex
Pelipper,패리퍼
Pelipper δ,패리퍼 δ
Persian,페르시온
Persian GX,페르시온 GX
Persian δ,페르시온 δ
Petilil,치릴리
Phanpy,코코리
Phantump,나목령
Pheromosa,페로코체
Pheromosa & Buzzwole GX,페로코체 & 매시붕 GX
Pheromosa GX,페로코체 GX
Phione,피오네
Pichu,피츄
Pichu Bros.,피츄 Bros.
Pichu δ,피츄 δ
Pidgeot,피죤투
Pidgeot ex,피죤투 ex
Pidgeot EX,피죤투 EX
Pidgeot V,피죤투 V
Pidgeot δ,피죤투 δ
Pidgeotto,피죤
Pidgeotto δ,피죤 δ
Pidgey,구구
Pidgey δ,구구 δ
Pidove,콩둘기
Pignite,차오꿀
Pikachu,피카츄
Pikachu & Zekrom GX,피카츄 & 제크로무 GX
Pikachu at the Museum,박물관에 피카츄
Pikachu ex,피카츄 ex
Pikachu EX,피카츄 EX
Pikachu GX,피카츄 GX
Pikachu Libre,피카츄 리브레
Pikachu on the Ball,피카츄 온 더 볼
Pikachu Star,피카츄 Star
Pikachu V,피카츄 V
Pikachu V-UNION,피카츄 V-UNION
Pikachu VMAX,피카츄 VMAX
Pikachu with Grey Felt Hat,회색 펠트 모자 피카츄
Pikachu δ,피카츄 δ
Pikachu-EX,피카츄-EX
Pikipek,콕코구리
Piloswine,메꾸리
Pincurchin,찌르성게
Pincurchin V,찌르성게 V
Pineco,피콘
Pinsir,쁘사이저
Pinsir GX,쁘사이저 GX
Pinsir δ,쁘사이저 δ
Piplup,팽도리
Plusle,플러시
Poipole,베베놈
Politoed,왕구리
Politoed ex,왕구리 ex
Poliwag,발챙이
Poliwhirl,슈륙챙이
Poliwrath,강챙이
Poliwrath ex,강챙이 ex
Poltchageist,차데스
Polteageist,포트데스
Polteageist V,포트데스 V
Ponyta,포니타
Poochyena,포챠나
Popplio,누리공
Porygon,폴리곤
Porygon-Z,폴리곤Z
Porygon-Z G,폴리곤Z G
Porygon-Z GX,폴리곤Z GX
Porygon2,폴리곤2
Primal Groudon EX,원시 그란돈 EX
Primal Kyogre EX,원시 가이오가 EX
Primarina,누리레느
Primarina ex,누리레느 ex
Primarina GX,누리레느 GX
Primeape,성원숭
Primeape δ,성원숭 δ
Prinplup,팽태자
Probopass,대코파스
Probopass ex,대코파스 ex
Probopass G,대코파스 G
Psy Bolt,Psy Bolt
Psyduck,고라파덕
Psyduck δ,고라파덕 δ
Pumpkaboo,호바귀
Pupitar,데기라스
Pupitar δ,데기라스 δ
Purrloin,쌔비냥
Purugly,몬냥이
Purugly G,몬냥이 G
Pyroar,화염레오
Pyroar BREAK,화염레오 BREAK
Pyukumuku,해무기
Quagsire,누오
Quagsire GL,누오 GL
Quagsire δ,누오 δ
Quaquaval,웨이니발
Quaquaval ex,웨이니발 ex
Quaxly,꾸왁스
Quaxwell,아꾸왁
Quick Attack,Quick Attack
Quilava,마그케인
Quilava δ,마그케인 δ
Quilladin,도치보구
Qwilfish,침바루
Raboot,래비풋
Rabsca,베라카스
Rabsca ex,베라카스 ex
Radiant Alakazam,찬란한 후딘
Radiant Blastoise,찬란한 거북왕
Radiant Charizard,찬란한 리자몽
Radiant Charjabug,찬란한 전지충이
Radiant Eevee,찬란한 이브이
Radiant Eternatus,찬란한 무한다이노
Radiant Gardevoir,찬란한 가디안
Radiant Greninja,찬란한 개굴닌자
Radiant Hawlucha,찬란한 루차불
Radiant Heatran,찬란한 히드런
Radiant Hisuian Sneasler,찬란한 히스이 포푸니크
Radiant Jirachi,찬란한 지라치
Radiant Steelix,찬란한 강철톤
Radiant Tsareena,찬란한 달코퀸
Radiant Venusaur,찬란한 이상해꽃
Raging Bolt,날뛰는우레
Raging Bolt ex,날뛰는우레 ex
Raichu,라이츄
Raichu & Alolan Raichu GX,라이츄 & 알로라 라이츄 GX
Raichu BREAK,라이츄 BREAK
Raichu ex,라이츄 ex
Raichu GL,라이츄 GL
Raichu GX,라이츄 GX
Raichu V,라이츄 V
Raichu δ,라이츄 δ
Raikou,라이코
Raikou & Suicune LEGEND,라이코 & 스이쿤 LEGEND
Raikou ☆,라이코 ☆
Raikou ex,라이코 ex
Raikou GX,라이코 GX
Raikou V,라이코 V
Raikou-EX,라이코-EX
Rain Castform,캐스퐁 빗방울의 모습
Ralts,랄토스
Ralts δ,랄토스 δ
Rampardos,램펄드
Rampardos ex,램펄드 ex
Rampardos GL,램펄드 GL
Rapid Strike Urshifu,연격 우라오스
Rapid Strike Urshifu V,연격 우라오스 V
Rapid Strike Urshifu VMAX,연격 우라오스 VMAX
Rapidash,날쌩마
Rapidash E4,날쌩마 E4
Rapidash ex,날쌩마 ex
Raticate,레트라
Raticate BREAK,레트라 BREAK
Raticate G,레트라 G
Rattata,꼬렛
Rayquaza,레쿠쟈
Rayquaza & Deoxys LEGEND,레쿠쟈 & 테오키스 LEGEND
Rayquaza ☆,레쿠쟈 ☆
Rayquaza C,레쿠쟈 C
Rayquaza C LV.X,레쿠쟈 C LV.X
Rayquaza ex,레쿠쟈 ex
Rayquaza EX,레쿠쟈 EX
Rayquaza ex δ,레쿠쟈 ex δ
Rayquaza GX,레쿠쟈 GX
Rayquaza V,레쿠쟈 V
Rayquaza VMAX,레쿠쟈 VMAX
Rayquaza δ,레쿠쟈 δ
Rayquaza-EX,레쿠쟈-EX
Regice,레지아이스
Regice ☆,레지아이스 ☆
Regice ex,레지아이스 ex
Regidrago,레지드래고
Regidrago V,레지드래고 V
Regidrago VSTAR,레지드래고 VSTAR
Regieleki,레지에레키
Regieleki V,레지에레키 V
Regieleki VMAX,레지에레키 VMAX
Regigigas,레지기가스
Regigigas FB,레지기가스 FB
Regigigas V,레지기가스 V
Regigigas VSTAR,레지기가스 VSTAR
Regigigas-EX,레지기가스-EX
Regirock,레지락
Regirock ☆,레지락 ☆
Regirock ex,레지락 ex
Regirock EX,레지락 EX
Regirock V,레지락 V
Registeel,레지스틸
Registeel ☆,레지스틸 ☆
Registeel ex,레지스틸 ex
Registeel-EX,레지스틸-EX
Relicanth,시라칸
Rellor,구르데
Remoraid,총어
Reshiram,레시라무
Reshiram & Charizard GX,레시라무 & 리자몽 GX
Reshiram & Zekrom GX,레시라무 & 제크로무 GX
Reshiram ex,레시라무 ex
Reshiram GX,레시라무 GX
Reshiram V,레시라무 V
Reshiram-EX,레시라무-EX
Reshiram-GX,레시라무-GX
Reuniclus,란쿨루스
Revavroom,부르르룸
Revavroom ex,부르르룸 ex
Rhydon,코뿌리
Rhyhorn,뿔카노
Rhyperior,거대코뿌리
Rhyperior E4,거대코뿌리 E4
Rhyperior V,거대코뿌리 V
Ribombee,에리본
Rillaboom,고릴타
Rillaboom V,고릴타 V
Rillaboom VMAX,고릴타 VMAX
Riolu,리오르
Roaring Moon,고동치는달
Roaring Moon ex,고동치는달 ex
Rocket's Articuno ex,로켓단의 프리져 ex
Rocket's Entei ex,로켓단의 앤테이 ex
Rocket's Hitmonchan,로켓단의 홍수몬
Rocket’s Hitmonchan,로켓단의 홍수몬
Rocket's Hitmonchan ex,로켓단의 홍수몬 ex
Rocket's Meowth,로켓단의 나옹
Rocket's Mewtwo,로켓단의 뮤츠
Rocket’s Mewtwo,로켓단의 뮤츠
Rocket's Mewtwo ex,로켓단의 뮤츠 ex
Rocket's Moltres,로켓단의 파이어
Rocket's Moltres ex,로켓단의 파이어 ex
Rocket's Persian ex,로켓단의 페르시온 ex
Rocket's Raikou ex,로켓단의 라이코 ex
Rocket’s Scizor,로켓단의 핫삼
Rocket's Scizor ex,로켓단의 핫삼 ex
Rocket's Scyther,로켓단의 스라크
Rocket's Scyther ex,로켓단의 스라크 ex
Rocket’s Sneasel,로켓단의 포푸니
Rocket's Sneasel ex,로켓단의 포푸니 ex
Rocket's Snorlax,로켓단의 잠만보
Rocket's Snorlax ex,로켓단의 잠만보 ex
Rocket's Suicune ex,로켓단의 스이쿤 ex
Rocket's Wobbuffet,로켓단의 마자용
Rocket's Zapdos,로켓단의 썬더
Rocket's Zapdos ex,로켓단의 썬더 ex
Rockruff,암멍이
Roggenrola,단굴
Rollout,Rollout
Rolycoly,탄동
Rookidee,파라꼬
Roselia,로젤리아
Roserade,로즈레이드
Roserade C,로즈레이드 C
Roserade GL,로즈레이드 GL
Rotom,로토무
Rotom ex,로토무 ex
Rotom V,로토무 V
Rotom VSTAR,로토무 VSTAR
Rowlet,나몰빼미
Rowlet & Alolan Exeggutor GX,나몰빼미 & 알로라 나시 GX
Rufflet,수리둥보
Sableye,깜까미
Sableye G,깜까미 G
Sableye V,깜까미 V
Sabrina's Abra,초련의 캐이시
Sabrina's Alakazam,초련의 후딘
Sabrina's Drowzee,초련의 슬리프
Sabrina's Gastly,초련의 고오스
Sabrina's Gengar,초련의 팬텀
Sabrina's Golduck,초련의 골덕
Sabrina's Haunter,초련의 고우스트
Sabrina's Hypno,초련의 슬리퍼
Sabrina's Jynx,초련의 루주라
Sabrina's Kadabra,초련의 윤겔라
Sabrina's Mr. Mime,초련의 마임맨
Sabrina's Porygon,초련의 폴리곤
Sabrina's Psyduck,초련의 고라파덕
Sabrina's Slowbro,초련의 야도란
Sabrina's Slowpoke,초련의 야돈
Sabrina's Venomoth,초련의 도나리
Sabrina's Venonat,초련의 콘팡
Salamence,보만다
Salamence ex,보만다 ex
Salamence EX,보만다 EX
Salamence ex δ,보만다 ex δ
Salamence GX,보만다 GX
Salamence LV.X,보만다 LV.X
Salamence V,보만다 V
Salamence VMAX,보만다 VMAX
Salamence δ,보만다 δ
Salandit,야도뇽
Salazzle,염뉴트
Salazzle ex,염뉴트 ex
Salazzle GX,염뉴트 GX
Samurott,대검귀
Sand Tomb,Sand Tomb
Sandaconda,사다이사
Sandaconda V,사다이사 V
Sandaconda VMAX,사다이사 VMAX
Sandile,깜눈크
Sandshrew,모래두지
Sandslash,고지
Sandslash δ,고지 δ
Sandy Shocks,모래털가죽
Sandy Shocks ex,모래털가죽 ex
Sandygast,모래꿍
Sawk,타격귀
Sawsbuck,바라철록
Scatterbug,분이벌레
Sceptile,나무킹
Sceptile ex,나무킹 ex
Sceptile EX,나무킹 EX
Sceptile ex δ,나무킹 ex δ
Sceptile GX,나무킹 GX
Scizor,핫삼
Scizor E4,핫삼 E4
Scizor ex,핫삼 ex
Scizor EX,핫삼 EX
Scizor GX,핫삼 GX
Scizor V,핫삼 V
Scizor VMAX,핫삼 VMAX
Scizor-GX,핫삼-GX
Scolipede,펜드라
Scorbunny,염버니
Scorbunny on the Ball,염버니 온 더 볼
Scovillain,스코빌런
Scovillain ex,스코빌런 ex
Scrafty,곤율거니
Scraggy,곤율랭
Scratch,Scratch
Scream Tail,우렁찬꼬리
Scream Tail ex,우렁찬꼬리 ex
Screech,Screech
Scyther,스라크
Scyther ex,스라크 ex
Seadra,시드라
Seadra δ,시드라 δ
Seaking,왕콘치
Sealeo,씨레오
Seedot,도토링
Seel,쥬쥬
Seel δ,쥬쥬 δ
Seismitoad,두빅굴
Seismitoad EX,두빅굴 EX
Sentret,꼬리선
Serperior,샤로다
Serperior ex,샤로다 ex
Serperior V,샤로다 V
Serperior VSTAR,샤로다 VSTAR
Servine,샤비
Seviper,세비퍼
Sewaddle,두르보
Shadow Rider Calyrex V,흑마 버드렉스 V
Shadow Rider Calyrex VMAX,흑마 버드렉스 VMAX
Sharpedo,샤크니아
Sharpedo ex,샤크니아 ex
Sharpedo EX,샤크니아 EX
Sharpedo δ,샤크니아 δ
Shaymin,쉐이미
Shaymin ◇,쉐이미 ◇
Shaymin EX,쉐이미 EX
Shaymin LV.X,쉐이미 LV.X
Shaymin V,쉐이미 V
Shaymin VSTAR,쉐이미 VSTAR
Shaymin-EX,쉐이미-EX
Shedinja,껍질몬
Shelgon,쉘곤
Shelgon δ,쉘곤 δ
Shellder,셀러
Shellder δ,셀러 δ
Shellos,깝질무
Shellos East Sea,깝질무 East Sea
Shellos West Sea,깝질무 West Sea
Shelmet,쪼마리
Shieldon,방패톱스
Shiftry,다탱구
Shiftry ex,다탱구 ex
Shiftry GX,다탱구 GX
Shiinotic,마셰이드
Shining Arceus,빛나는 아르세우스
Shining Celebi,빛나는 세레비
Shining Charizard,빛나는 리자몽
Shining Genesect,빛나는 게노세크트
Shining Gyarados,빛나는 갸라도스
Shining Ho-Oh,빛나는 칠색조
Shining Jirachi,빛나는 지라치
Shining Kabutops,빛나는 투구푸스
Shining Lugia,빛나는 루기아
Shining Magikarp,빛나는 잉어킹
Shining Mew,빛나는 뮤
Shining Mewtwo,빛나는 뮤츠
Shining Noctowl,빛나는 야부엉
Shining Raichu,빛나는 라이츄
Shining Rayquaza,빛나는 레쿠쟈
Shining Steelix,빛나는 강철톤
Shining Tyranitar,빛나는 마기라스
Shining Volcanion,빛나는 볼케니온
Shinx,꼬링크
Shroodle,땃쭈르
Shroomish,버섯꼬
Shuckle,단단지
Shuckle ex,단단지 ex
Shuckle GX,단단지 GX
Shuppet,어둠대신
Sigilyph,심보러
Sigilyph GX,심보러 GX
Silcoon,실쿤
Silicobra,모래뱀
Silvally,실버디
Silvally GX,실버디 GX
Silvally-GX,실버디-GX
Simipour,앗차키
Simisage,야나키
Simisear,바오키
Simisear V,바오키 V
Simisear VSTAR,바오키 VSTAR
Single Strike Urshifu,일격 우라오스
Single Strike Urshifu V,일격 우라오스 V
Single Strike Urshifu VMAX,일격 우라오스 VMAX
Sinistcha,그우린차
Sinistcha ex,그우린차 ex
Sinistea,데인차
Sizzlipede,태우지네
Skarmory,무장조
Skarmory ex,무장조 ex
Skarmory EX,무장조 EX
Skarmory FB,무장조 FB
Skeledirge,라우드본
Skeledirge ex,라우드본 ex
Skiddo,메이클
Skiploom,두코
Skitty,에나비
Skorupi,스콜피
Skrelp,수레기
Skuntank,스컹탱크
Skuntank G,스컹탱크 G
Skuntank V,스컹탱크 V
Skwovet,탐리스
Slaking,게을킹
Slaking ex,게을킹 ex
Slaking V,게을킹 V
Slakoth,게을로
Slam,Slam
Sliggoo,미끄네일
Slither Wing,땅을기는날개
Slowbro,야도란
Slowbro EX,야도란 EX
Slowking,야도킹
Slowking ex,야도킹 ex
Slowpoke,야돈
Slowpoke & Psyduck GX,야돈 & 고라파덕 GX
Slugma,마그마그
Slurpuff,나루림
Smeargle,루브도
Smeargle δ,루브도 δ
Smoliv,미니브
Smoochum,뽀뽀라
Smoochum δ,뽀뽀라 δ
Sneasel,포푸니
Sneasel ex,포푸니 ex
Snivy,주리비얀
Snom,누니머기
Snorlax,잠만보
Snorlax ex,잠만보 ex
Snorlax GX,잠만보 GX
Snorlax LV.X,잠만보 LV.X
Snorlax V,잠만보 V
Snorlax VMAX,잠만보 VMAX
Snorlax δ,잠만보 δ
Snorunt,눈꼬마
Snover,눈쓰개
Snow-cloud Castform,캐스퐁 설운의 모습
Snubbull,블루
Sobble,울머기
Sobble on the Ball,울머기 온 더 볼
Solgaleo,솔가레오
Solgaleo & Lunala GX,솔가레오 & 루나아라 GX
Solgaleo ◇,솔가레오 ◇
Solgaleo ex,솔가레오 ex
Solgaleo GX,솔가레오 GX
Solosis,유니란
Solrock,솔록
Spearow,깨비참
Special Delivery Bidoof,스페셜 딜리버리 비버니
Special Delivery Charizard,스페셜 딜리버리 리자몽
Special Delivery Pikachu,스페셜 딜리버리 피카츄
Spectrier,레이스포스
Spewpa,분떠도리
Spheal,대굴레오
Spidops,트래피더
Spidops ex,트래피더 ex
Spinarak,페이검
Spinda,얼루기
Spiritomb,화강돌
Spiritomb C,화강돌 C
Spoil the Fun,Spoil the Fun
Spoink,피그점프
Sprigatito,나오하
Sprigatito ex,나오하 ex
Spritzee,슈쁘
Squawkabilly,시비꼬
Squawkabilly ex,시비꼬 ex
Squirtle,꼬부기
Stakataka,차곡차곡
Stakataka GX,차곡차곡 GX
Stakataka-GX,차곡차곡-GX
Stantler,노라키
Staraptor,찌르호크
Staraptor FB,찌르호크 FB
Staraptor FB LV.X,찌르호크 FB LV.X
Staravia,찌르버드
Starly,찌르꼬
Starmie,아쿠스타
Starmie BREAK,아쿠스타 BREAK
Starmie ex,아쿠스타 ex
Starmie GX,아쿠스타 GX
Starmie V,아쿠스타 V
Starmie δ,아쿠스타 δ
Staryu,별가사리
Steelix,강철톤
Steelix ex,강철톤 ex
Steelix EX,강철톤 EX
Steelix GL,강철톤 GL
Steelix V,강철톤 V
Steenee,달무리나
Steven's Baltoy,성호의 오뚝군
Steven's Beldum,성호의 메탕
Steven's Carbink,성호의 멜리시
Steven's Claydol,성호의 점토도리
Steven's Metagross ex,성호의 메타그로스 ex
Steven's Metang,성호의 메탕구
Steven's Skarmory,성호의 무장조
Stonjourner,돌헨진
Stonjourner V,돌헨진 V
Stonjourner VMAX,돌헨진 VMAX
Stoutland,바랜드
Stoutland V,바랜드 V
Stufful,포곰곰
Stunfisk,메더
Stunfisk ex,메더 ex
Stunky,스컹뿡
Sudowoodo,꼬지모
Suicune,스이쿤
Suicune & Entei LEGEND,스이쿤 & 앤테이 LEGEND
Suicune ☆,스이쿤 ☆
Suicune ex,스이쿤 ex
Suicune GX,스이쿤 GX
Suicune V,스이쿤 V
Sunflora,해루미
Sunkern,해너츠
Sunny Castform,캐스퐁 태양의 모습
Surfing Pikachu,파도타기 피카츄
Surfing Pikachu V,파도타기 피카츄 V
Surfing Pikachu VMAX,파도타기 피카츄 VMAX
Surskit,비구술
Swablu,파비코
Swablu δ,파비코 δ
Swadloon,두르쿤
Swalot,꿀꺽몬
Swampert,대짱이
Swampert ex,대짱이 ex
Swampert EX,대짱이 EX
Swanna,스완나
Swellow,스왈로
Swellow δ,스왈로 δ
Swinub,꾸꾸리
Swirlix,나룸퍼프
Swoobat,맘박쥐
Sylveon,님피아
Sylveon ex,님피아 ex
Sylveon EX,님피아 EX
Sylveon GX,님피아 GX
Sylveon V,님피아 V
Sylveon VMAX,님피아 VMAX
Sylveon-GX,님피아-GX
Tackle,Tackle
Tadbulb,빈나두
Taillow,테일로
Taillow δ,테일로 δ
Talonflame,파이어로
Talonflame BREAK,파이어로 BREAK
Talonflame V,파이어로 V
Tandemaus,두리쥐
Tangela,덩쿠리
Tangrowth,덩쿠림보
Tangrowth LV.X,덩쿠림보 LV.X
Tapu Bulu,카푸브루루
Tapu Bulu GX,카푸브루루 GX
Tapu Bulu-GX,카푸브루루-GX
Tapu Fini,카푸느지느
Tapu Fini GX,카푸느지느 GX
Tapu Fini-GX,카푸느지느-GX
Tapu Koko,카푸꼬꼬꼭
Tapu Koko ◇,카푸꼬꼬꼭 ◇
Tapu Koko ex,카푸꼬꼬꼭 ex
Tapu Koko GX,카푸꼬꼬꼭 GX
Tapu Koko V,카푸꼬꼬꼭 V
Tapu Koko VMAX,카푸꼬꼬꼭 VMAX
Tapu Koko-GX,카푸꼬꼬꼭-GX
Tapu Lele,카푸나비나
Tapu Lele GX,카푸나비나 GX
Tapu Lele-GX,카푸나비나-GX
Tarountula,타랜툴라
Tatsugiri,싸리용
Tatsugiri ex,싸리용 ex
Tauros,켄타로스
Tauros ex,켄타로스 ex
Tauros GX,켄타로스 GX
Teal Mask Ogerpon,오거폰 벽록의 가면
Teal Mask Ogerpon ex,오거폰 벽록의 가면 ex
Team Aqua's Cacnea,아쿠아단의 선인왕
Team Aqua's Cacturne,아쿠아단의 밤선인
Team Aqua's Carvanha,아쿠아단의 샤프니아
Team Aqua's Chinchou,아쿠아단의 초라기
Team Aqua's Corphish,아쿠아단의 가재군
Team Aqua's Crawdaunt,아쿠아단의 가재장군
Team Aqua's Electrike,아쿠아단의 썬더라이
Team Aqua's Grimer,아쿠아단의 질퍽이
Team Aqua's Kyogre,아쿠아단의 가이오가
Team Aqua's Kyogre EX,아쿠아단의 가이오가 EX
